#,Name,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Strong Against,Weak Against,Other,evol_level,evol_cond
26,Raichu,Electric,,485,60,90,55,90,80,110,1,FALSE,"Flying, Water",Ground,Not Effective Against Ground,#N/A,#N/A
27,Sandshrew,Ground,,300,50,75,85,20,30,40,1,FALSE,"Electric, Fire, Poison, Rock, Steel","Grass, Ice, Water",Immune to Electric; Not Effective Against Flying,22,None
28,Sandslash,Ground,,450,75,100,110,45,55,65,1,FALSE,"Electric, Fire, Poison, Rock, Steel","Grass, Ice, Water",Immune to Electric; Not Effective Against Flying,#N/A,#N/A
29,Nidoran?€,Poison,,275,55,47,52,40,40,41,1,FALSE,"Fairy, Grass","Ground, Psychic",Not Effective Against Steel,#N/A,#N/A
30,Nidorina,Poison,,365,70,62,67,55,55,56,1,FALSE,"Fairy, Grass","Ground, Psychic",Not Effective Against Steel,#N/A,#N/A
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,FALSE,"Fairy, Grass, Electric, Fire, Poison, Rock, Steel","Ground, Psychic, Grass, Ice, Water","Not Effective Against Steel, Immune to Electric; Not Effective Against Flying",#N/A,#N/A
32,Nidoran,Poison,,273,57,40,40,40,50,41,1,FALSE,"Fairy, Grass","Ground, Psychic",Not Effective Against Steel,#N/A,#N/A
33,Nidorino,Poison,,365,61,72,57,55,55,65,1,FALSE,"Fairy, Grass","Ground, Psychic",Not Effective Against Steel,#N/A,#N/A
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,FALSE,"Fairy, Grass, Electric, Fire, Poison, Rock, Steel","Ground, Psychic, Grass, Ice, Water","Not Effective Against Steel, Immune to Electric; Not Effective Against Flying",#N/A,#N/A
35,Clefairy,Fairy,,323,70,45,48,60,65,35,1,FALSE,"Dark, Dragon, Fighting","Poison, Steel",Immune to Dragon,#N/A,#N/A
36,Clefable,Fairy,,483,95,70,73,95,90,60,1,FALSE,"Dark, Dragon, Fighting","Poison, Steel",Immune to Dragon,#N/A,#N/A
37,Vulpix,Fire,,299,38,41,40,50,65,65,1,FALSE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,#N/A,#N/A
38,Ninetales,Fire,,505,73,76,75,81,100,100,1,FALSE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,#N/A,#N/A
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,FALSE,"None, Dark, Dragon, Fighting","Fighting, Poison, Steel","Immune to Ghost; Not Effective Against Ghost, Immune to Dragon",#N/A,#N/A
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,FALSE,"None, Dark, Dragon, Fighting","Fighting, Poison, Steel","Immune to Ghost; Not Effective Against Ghost, Immune to Dragon",#N/A,#N/A
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,FALSE,"Fairy, Grass, Bug, Fighting, Grass","Ground, Psychic, Electric, Ice, Rock","Not Effective Against Steel, Immune to Ground",22,None
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,FALSE,"Fairy, Grass, Bug, Fighting, Grass","Ground, Psychic, Electric, Ice, Rock","Not Effective Against Steel, Immune to Ground",#N/A,#N/A
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,FALSE,"Ground, Rock, Water, Fairy, Grass","Bug, Fire, Flying, Ice, Poison, Ground, Psychic","nan, Not Effective Against Steel",21,None
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,FALSE,"Ground, Rock, Water, Fairy, Grass","Bug, Fire, Flying, Ice, Poison, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,FALSE,"Ground, Rock, Water, Fairy, Grass","Bug, Fire, Flying, Ice, Poison, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A
46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,FALSE,"Dark, Grass, Psychic, Ground, Rock, Water","Fire, Flying, Rock, Bug, Fire, Flying, Ice, Poison","nan, nan",24,None
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,FALSE,"Dark, Grass, Psychic, Ground, Rock, Water","Fire, Flying, Rock, Bug, Fire, Flying, Ice, Poison","nan, nan",#N/A,#N/A
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,FALSE,"Dark, Grass, Psychic, Fairy, Grass","Fire, Flying, Rock, Ground, Psychic","nan, Not Effective Against Steel",31,None
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,FALSE,"Dark, Grass, Psychic, Fairy, Grass","Fire, Flying, Rock, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A
50,Diglett,Ground,,265,10,55,25,35,45,95,1,FALSE,"Electric, Fire, Poison, Rock, Steel","Grass, Ice, Water",Immune to Electric; Not Effective Against Flying,26,None
51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,FALSE,"Electric, Fire, Poison, Rock, Steel","Grass, Ice, Water",Immune to Electric; Not Effective Against Flying,#N/A,#N/A
52,Meowth,Normal,,290,40,45,35,40,40,90,1,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,28,None
53,Persian,Normal,,440,65,70,60,65,65,115,1,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
54,Psyduck,Water,,320,50,52,48,65,50,55,1,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,33,None
55,Golduck,Water,,500,80,82,78,95,80,85,1,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A
56,Mankey,Fighting,,305,40,80,35,35,45,70,1,FALSE,"Dark, Ice, Normal, Rock, Steel","Fairy, Flying, Psychic",Not Effective Against Ghost,28,None
57,Primeape,Fighting,,455,65,105,60,60,70,95,1,FALSE,"Dark, Ice, Normal, Rock, Steel","Fairy, Flying, Psychic",Not Effective Against Ghost,#N/A,#N/A
58,Growlithe,Fire,,350,55,70,45,70,50,60,1,FALSE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,#N/A,#N/A
59,Arcanine,Fire,,555,90,110,80,100,80,95,1,FALSE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,#N/A,#N/A
60,Poliwag,Water,,300,40,50,40,40,40,90,1,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,25,None
61,Poliwhirl,Water,,385,65,65,65,50,50,90,1,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,FALSE,"Fire, Ground, Rock, Dark, Ice, Normal, Rock, Steel","Electric, Grass, Fairy, Flying, Psychic","nan, Not Effective Against Ghost",#N/A,#N/A
63,Abra,Psychic,,310,25,20,15,105,55,90,1,FALSE,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,16,None
64,Kadabra,Psychic,,400,40,35,30,120,70,105,1,FALSE,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A
65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,FALSE,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A
65,AlakazamMega Alakazam,Psychic,,590,55,50,65,175,95,150,1,FALSE,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A
66,Machop,Fighting,,305,70,80,50,35,35,35,1,FALSE,"Dark, Ice, Normal, Rock, Steel","Fairy, Flying, Psychic",Not Effective Against Ghost,28,None
67,Machoke,Fighting,,405,80,100,70,50,60,45,1,FALSE,"Dark, Ice, Normal, Rock, Steel","Fairy, Flying, Psychic",Not Effective Against Ghost,#N/A,#N/A
68,Machamp,Fighting,,505,90,130,80,65,85,55,1,FALSE,"Dark, Ice, Normal, Rock, Steel","Fairy, Flying, Psychic",Not Effective Against Ghost,#N/A,#N/A
69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,FALSE,"Ground, Rock, Water, Fairy, Grass","Bug, Fire, Flying, Ice, Poison, Ground, Psychic","nan, Not Effective Against Steel",21,None
70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,FALSE,"Ground, Rock, Water, Fairy, Grass","Bug, Fire, Flying, Ice, Poison, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,FALSE,"Ground, Rock, Water, Fairy, Grass","Bug, Fire, Flying, Ice, Poison, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A
72,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,FALSE,"Fire, Ground, Rock, Fairy, Grass","Electric, Grass, Ground, Psychic","nan, Not Effective Against Steel",30,None
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,FALSE,"Fire, Ground, Rock, Fairy, Grass","Electric, Grass, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A
74,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,FALSE,"Bug, Fire, Flying, Ice, Electric, Fire, Poison, Rock, Steel","Fight, Grass, Ground, Steel, Water, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",25,None
75,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,FALSE,"Bug, Fire, Flying, Ice, Electric, Fire, Poison, Rock, Steel","Fight, Grass, Ground, Steel, Water, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",#N/A,#N/A
76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,FALSE,"Bug, Fire, Flying, Ice, Electric, Fire, Poison, Rock, Steel","Fight, Grass, Ground, Steel, Water, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",#N/A,#N/A
77,Ponyta,Fire,,410,50,85,55,65,65,90,1,FALSE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,40,None
78,Rapidash,Fire,,500,65,100,70,80,80,105,1,FALSE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,#N/A,#N/A
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,FALSE,"Fire, Ground, Rock, Fight, Poison","Electric, Grass, Bug, Dark, Ghost","nan, Not Effective Against Dark",37,None
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,FALSE,"Fire, Ground, Rock, Fight, Poison","Electric, Grass, Bug, Dark, Ghost","nan, Not Effective Against Dark",#N/A,#N/A
80,SlowbroMega Slowbro,Water,Psychic,590,95,75,180,130,80,30,1,FALSE,"Fire, Ground, Rock, Fight, Poison","Electric, Grass, Bug, Dark, Ghost","nan, Not Effective Against Dark",#N/A,#N/A
81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,FALSE,"Flying, Water, Fairy, Ice, Rock","Ground, Fight, Fire, Ground","Not Effective Against Ground, Immune to Poison",30,None
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,FALSE,"Flying, Water, Fairy, Ice, Rock","Ground, Fight, Fire, Ground","Not Effective Against Ground, Immune to Poison",#N/A,#N/A
83,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,FALSE,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",#N/A,#N/A
84,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,FALSE,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",31,None
85,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,FALSE,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",#N/A,#N/A
86,Seel,Water,,325,65,45,55,45,70,45,1,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,34,None
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,FALSE,"Fire, Ground, Rock, Dragon, Flying, Grass, Ground","Electric, Grass, Fighting, Fire, Rock, Steel","nan, nan",#N/A,#N/A
88,Grimer,Poison,,325,80,80,50,40,50,25,1,FALSE,"Fairy, Grass","Ground, Psychic",Not Effective Against Steel,38,None
89,Muk,Poison,,500,105,105,75,65,100,50,1,FALSE,"Fairy, Grass","Ground, Psychic",Not Effective Against Steel,#N/A,#N/A
90,Shellder,Water,,305,30,65,100,45,25,40,1,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,FALSE,"Fire, Ground, Rock, Dragon, Flying, Grass, Ground","Electric, Grass, Fighting, Fire, Rock, Steel","nan, nan",#N/A,#N/A
92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,FALSE,"Ghost, Psychic, Fairy, Grass","Dark, Ghost, Ground, Psychic","Immune to fight, Normal; Not Effective Against Normal, Not Effective Against Steel",25,None
93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,FALSE,"Ghost, Psychic, Fairy, Grass","Dark, Ghost, Ground, Psychic","Immune to fight, Normal; Not Effective Against Normal, Not Effective Against Steel",#N/A,#N/A
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,FALSE,"Ghost, Psychic, Fairy, Grass","Dark, Ghost, Ground, Psychic","Immune to fight, Normal; Not Effective Against Normal, Not Effective Against Steel",#N/A,#N/A
94,GengarMega Gengar,Ghost,Poison,600,60,65,80,170,95,130,1,FALSE,"Ghost, Psychic, Fairy, Grass","Dark, Ghost, Ground, Psychic","Immune to fight, Normal; Not Effective Against Normal, Not Effective Against Steel",#N/A,#N/A
95,Onix,Rock,Ground,385,35,45,160,30,45,70,1,FALSE,"Bug, Fire, Flying, Ice, Electric, Fire, Poison, Rock, Steel","Fight, Grass, Ground, Steel, Water, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",#N/A,#N/A
96,Drowzee,Psychic,,328,60,48,45,43,90,42,1,FALSE,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,26,None
97,Hypno,Psychic,,483,85,73,70,73,115,67,1,FALSE,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A
98,Krabby,Water,,325,30,105,90,25,25,50,1,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,28,None
99,Kingler,Water,,475,55,130,115,50,50,75,1,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A
100,Voltorb,Electric,,330,40,30,50,55,55,100,1,FALSE,"Flying, Water",Ground,Not Effective Against Ground,30,None
101,Electrode,Electric,,480,60,50,70,80,80,140,1,FALSE,"Flying, Water",Ground,Not Effective Against Ground,#N/A,#N/A
102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,FALSE,"Ground, Rock, Water, Fight, Poison","Bug, Fire, Flying, Ice, Poison, Bug, Dark, Ghost","nan, Not Effective Against Dark",#N/A,#N/A
103,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,FALSE,"Ground, Rock, Water, Fight, Poison","Bug, Fire, Flying, Ice, Poison, Bug, Dark, Ghost","nan, Not Effective Against Dark",#N/A,#N/A
104,Cubone,Ground,,320,50,50,95,40,50,35,1,FALSE,"Electric, Fire, Poison, Rock, Steel","Grass, Ice, Water",Immune to Electric; Not Effective Against Flying,28,None
105,Marowak,Ground,,425,60,80,110,50,80,45,1,FALSE,"Electric, Fire, Poison, Rock, Steel","Grass, Ice, Water",Immune to Electric; Not Effective Against Flying,#N/A,#N/A
106,Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,FALSE,"Dark, Ice, Normal, Rock, Steel","Fairy, Flying, Psychic",Not Effective Against Ghost,#N/A,#N/A
107,Hitmonchan,Fighting,,455,50,105,79,35,110,76,1,FALSE,"Dark, Ice, Normal, Rock, Steel","Fairy, Flying, Psychic",Not Effective Against Ghost,#N/A,#N/A
108,Lickitung,Normal,,385,90,55,75,60,75,30,1,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
109,Koffing,Poison,,340,40,65,95,60,45,35,1,FALSE,"Fairy, Grass","Ground, Psychic",Not Effective Against Steel,35,None
110,Weezing,Poison,,490,65,90,120,85,70,60,1,FALSE,"Fairy, Grass","Ground, Psychic",Not Effective Against Steel,#N/A,#N/A
111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,FALSE,"Electric, Fire, Poison, Rock, Steel, Bug, Fire, Flying, Ice","Grass, Ice, Water, Fight, Grass, Ground, Steel, Water","Immune to Electric; Not Effective Against Flying, nan",42,None
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,FALSE,"Electric, Fire, Poison, Rock, Steel, Bug, Fire, Flying, Ice","Grass, Ice, Water, Fight, Grass, Ground, Steel, Water","Immune to Electric; Not Effective Against Flying, nan",#N/A,#N/A
113,Chansey,Normal,,450,250,5,5,35,105,50,1,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
114,Tangela,Grass,,435,65,55,115,100,40,60,1,FALSE,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,#N/A,#N/A
115,Kangaskhan,Normal,,490,105,95,80,40,80,90,1,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
115,KangaskhanMega Kangaskhan,Normal,,590,105,125,100,60,100,100,1,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
116,Horsea,Water,,295,30,40,70,70,25,60,1,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,32,None
117,Seadra,Water,,440,55,65,95,95,45,85,1,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A
118,Goldeen,Water,,320,45,67,60,35,50,63,1,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,33,None
119,Seaking,Water,,450,80,92,65,65,80,68,1,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A
120,Staryu,Water,,340,30,45,55,70,55,85,1,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,FALSE,"Fire, Ground, Rock, Fight, Poison","Electric, Grass, Bug, Dark, Ghost","nan, Not Effective Against Dark",#N/A,#N/A
122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,FALSE,"Fight, Poison, Dark, Dragon, Fighting","Bug, Dark, Ghost, Poison, Steel","Not Effective Against Dark, Immune to Dragon",#N/A,#N/A
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,FALSE,"Dark, Grass, Psychic, Bug, Fighting, Grass","Fire, Flying, Rock, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,FALSE,"Dragon, Flying, Grass, Ground, Fight, Poison","Fighting, Fire, Rock, Steel, Bug, Dark, Ghost","nan, Not Effective Against Dark",#N/A,#N/A
125,Electabuzz,Electric,,490,65,83,57,95,85,105,1,FALSE,"Flying, Water",Ground,Not Effective Against Ground,#N/A,#N/A
126,Magmar,Fire,,495,65,95,57,100,85,93,1,FALSE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,#N/A,#N/A
127,Pinsir,Bug,,500,65,125,100,55,70,85,1,FALSE,"Dark, Grass, Psychic","Fire, Flying, Rock",nan,#N/A,#N/A
127,PinsirMega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1,FALSE,"Dark, Grass, Psychic, Bug, Fighting, Grass","Fire, Flying, Rock, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A
128,Tauros,Normal,,490,75,100,95,40,70,110,1,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
129,Magikarp,Water,,200,20,10,55,15,20,80,1,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,20,None
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,FALSE,"Fire, Ground, Rock, Bug, Fighting, Grass","Electric, Grass, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A
130,GyaradosMega Gyarados,Water,Dark,640,95,155,109,70,130,81,1,FALSE,"Fire, Ground, Rock, Ghost, Psychic","Electric, Grass, Bug, Fairy, Fight","nan, Immunce to Psychic",#N/A,#N/A
131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,FALSE,"Fire, Ground, Rock, Dragon, Flying, Grass, Ground","Electric, Grass, Fighting, Fire, Rock, Steel","nan, nan",#N/A,#N/A
132,Ditto,Normal,,288,48,48,48,48,48,48,1,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
133,Eevee,Normal,,325,55,55,50,45,65,55,1,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
134,Vaporeon,Water,,525,130,65,60,110,95,65,1,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A
135,Jolteon,Electric,,525,65,65,60,110,95,130,1,FALSE,"Flying, Water",Ground,Not Effective Against Ground,#N/A,#N/A
136,Flareon,Fire,,525,65,130,60,95,110,65,1,FALSE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,#N/A,#N/A
137,Porygon,Normal,,395,65,60,70,85,75,40,1,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A
138,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,FALSE,"Bug, Fire, Flying, Ice, Fire, Ground, Rock","Fight, Grass, Ground, Steel, Water, Electric, Grass","nan, nan",40,None
139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,FALSE,"Bug, Fire, Flying, Ice, Fire, Ground, Rock","Fight, Grass, Ground, Steel, Water, Electric, Grass","nan, nan",#N/A,#N/A
140,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,FALSE,"Bug, Fire, Flying, Ice, Fire, Ground, Rock","Fight, Grass, Ground, Steel, Water, Electric, Grass","nan, nan",40,None
